2025-03-19T21:14:38.321890Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[16]"
2025-03-19T21:14:38.321894Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[17]"
2025-03-19T21:14:38.321898Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[18]"
2025-03-19T21:14:38.321902Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[19]"
2025-03-19T21:14:38.321906Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[20]"
2025-03-19T21:14:38.321910Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[21]"
2025-03-19T21:14:38.321914Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[22]"
2025-03-19T21:14:38.321918Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[23]"
2025-03-19T21:14:38.321922Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[24]"
2025-03-19T21:14:38.321926Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[25]"
2025-03-19T21:14:38.321931Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[26]"
2025-03-19T21:14:38.321935Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[27]"
2025-03-19T21:14:38.321939Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[28]"
2025-03-19T21:14:38.321943Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[29]"
2025-03-19T21:14:38.321947Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[30]"
2025-03-19T21:14:38.321951Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[31]"
2025-03-19T21:14:38.321955Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[32]"
2025-03-19T21:14:38.321959Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[33]"
2025-03-19T21:14:38.321963Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[34]"
2025-03-19T21:14:38.321967Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[35]"
2025-03-19T21:14:38.321972Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[36]"
2025-03-19T21:14:38.321976Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[37]"
2025-03-19T21:14:38.321980Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[38]"
2025-03-19T21:14:38.321984Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[39]"
2025-03-19T21:14:38.321988Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[40]"
2025-03-19T21:14:38.321999Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[41]"
2025-03-19T21:14:38.322004Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[42]"
2025-03-19T21:14:38.322008Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[43]"
2025-03-19T21:14:38.322012Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[44]"
2025-03-19T21:14:38.322016Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[45]"
2025-03-19T21:14:38.322020Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[46]"
2025-03-19T21:14:38.322024Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[47]"
2025-03-19T21:14:38.322029Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[48]"
2025-03-19T21:14:38.322033Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[49]"
2025-03-19T21:14:38.322037Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[50]"
2025-03-19T21:14:38.322041Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[51]"
2025-03-19T21:14:38.322046Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[52]"
2025-03-19T21:14:38.322053Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[53]"
2025-03-19T21:14:38.322057Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[54]"
2025-03-19T21:14:38.322062Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[55]"
2025-03-19T21:14:38.322066Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[56]"
2025-03-19T21:14:38.322070Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[57]"
2025-03-19T21:14:38.322075Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[58]"
2025-03-19T21:14:38.322079Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[59]"
2025-03-19T21:14:38.322083Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[60]"
2025-03-19T21:14:38.322088Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[61]"
2025-03-19T21:14:38.322092Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[62]"
2025-03-19T21:14:38.322096Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.memData[63]"
2025-03-19T21:14:38.322101Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.WIDTH"
2025-03-19T21:14:38.322123Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.DEPTH"
2025-03-19T21:14:38.322133Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.READ_PORTS"
2025-03-19T21:14:38.322137Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.WRITE_PORTS"
2025-03-19T21:14:38.322142Z DEBUG src/var_index.rs:41: &name value="regfile.regfile_mem.BYPASS_EN"
2025-03-19T21:14:38.322147Z DEBUG src/var_index.rs:41: &name value="testbench.out_fileno"
2025-03-19T21:14:38.322152Z DEBUG src/var_index.rs:41: &name value="testbench.cpi_fileno"
2025-03-19T21:14:38.322156Z DEBUG src/var_index.rs:41: &name value="testbench.wb_fileno"
2025-03-19T21:14:38.322161Z DEBUG src/var_index.rs:41: &name value="testbench.clock"
2025-03-19T21:14:38.322165Z DEBUG src/var_index.rs:41: &name value="testbench.reset"
2025-03-19T21:14:38.322170Z DEBUG src/var_index.rs:41: &name value="testbench.clock_count"
2025-03-19T21:14:38.322174Z DEBUG src/var_index.rs:41: &name value="testbench.instr_count"
2025-03-19T21:14:38.322178Z DEBUG src/var_index.rs:41: &name value="testbench.proc2mem_command"
2025-03-19T21:14:38.322183Z DEBUG src/var_index.rs:41: &name value="testbench.proc2mem_addr"
2025-03-19T21:14:38.322187Z DEBUG src/var_index.rs:41: &name value="testbench.mem2proc_transaction_tag"
2025-03-19T21:14:38.322192Z DEBUG src/var_index.rs:41: &name value="testbench.mem2proc_data_tag"
2025-03-19T21:14:38.322196Z DEBUG src/var_index.rs:41: &name value="testbench.proc2mem_size"
2025-03-19T21:14:38.322201Z DEBUG src/var_index.rs:41: &name value="testbench.error_status"
2025-03-19T21:14:38.322213Z DEBUG src/var_index.rs:41: &name value="testbench.PC"
2025-03-19T21:14:38.322224Z DEBUG src/var_index.rs:41: &name value="testbench.cpu_ready"
2025-03-19T21:14:38.322228Z DEBUG src/var_index.rs:41: &name value="testbench.incoming_instrs_vld"
2025-03-19T21:14:38.322233Z DEBUG src/var_index.rs:41: &name value="testbench.running_PC"
2025-03-19T21:14:38.322919Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.clock"
2025-03-19T21:14:38.322925Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.reset"
2025-03-19T21:14:38.322930Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.mem2proc_transaction_tag"
2025-03-19T21:14:38.322935Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.mem2proc_data_tag"
2025-03-19T21:14:38.322939Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.proc2mem_command"
2025-03-19T21:14:38.322944Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.proc2mem_addr"
2025-03-19T21:14:38.322948Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.proc2mem_size"
2025-03-19T21:14:38.322953Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.PC"
2025-03-19T21:14:38.322957Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.ready"
2025-03-19T21:14:38.322962Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.incoming_instrs_vld"
2025-03-19T21:14:38.322967Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.dbg_this_is_cpu"
2025-03-19T21:14:38.322971Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.if_id_enable"
2025-03-19T21:14:38.322975Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.id_ex_enable"
2025-03-19T21:14:38.322980Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.ex_mem_enable"
2025-03-19T21:14:38.322984Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.mem_wb_enable"
2025-03-19T21:14:38.322988Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.Imem_command"
2025-03-19T21:14:38.322993Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.Imem_addr"
2025-03-19T21:14:38.322997Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.Dmem_addr"
2025-03-19T21:14:38.323001Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.Dmem_command"
2025-03-19T21:14:38.323005Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.Dmem_size"
2025-03-19T21:14:38.323010Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.load_stall"
2025-03-19T21:14:38.323014Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.new_load"
2025-03-19T21:14:38.323018Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.mem_tag_match"
2025-03-19T21:14:38.323022Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rd_mem_q"
